country,code,region,Y1960
Mauritania,MRT,Sub-Saharan Africa,858170
Mauritius,MUS,Sub-Saharan Africa,659351
Mexico,MEX,Latin America & Caribbean,38174114
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,44539
Moldova,MDA,Europe & Central Asia,2544000
Monaco,MCO,Europe & Central Asia,22454
Mongolia,MNG,East Asia & Pacific,955514
Montenegro,MNE,Europe & Central Asia,480579
Morocco,MAR,Middle East & North Africa,12328534
Mozambique,MOZ,Sub-Saharan Africa,7493278
Myanmar,MMR,East Asia & Pacific,21486424
Namibia,NAM,Sub-Saharan Africa,602545
Nauru,NRU,East Asia & Pacific,4433
Nepal,NPL,South Asia,10056945
Netherlands,NLD,Europe & Central Asia,11486631
New Caledonia,NCL,East Asia & Pacific,79000
New Zealand,NZL,East Asia & Pacific,2371800
Nicaragua,NIC,Latin America & Caribbean,1774696
Niger,NER,Sub-Saharan Africa,3395212
Nigeria,NGA,Sub-Saharan Africa,45211614
Northern Mariana Islands,MNP,East Asia & Pacific,10070
Norway,NOR,Europe & Central Asia,3581239
Oman,OMN,Middle East & North Africa,551737
Pakistan,PAK,South Asia,44911810
Palau,PLW,East Asia & Pacific,9638
Panama,PAN,Latin America & Caribbean,1132924
Papua New Guinea,PNG,East Asia & Pacific,1966957
Paraguay,PRY,Latin America & Caribbean,1902871
Peru,PER,Latin America & Caribbean,10061519
Philippines,PHL,East Asia & Pacific,26273023
Poland,POL,Europe & Central Asia,29637450
Portugal,PRT,Europe & Central Asia,8857716
Puerto Rico,PRI,Latin America & Caribbean,2358000
Qatar,QAT,Middle East & North Africa,47309
Romania,ROM,Europe & Central Asia,18406905
Russian Federation,RUS,Europe & Central Asia,119897000
Rwanda,RWA,Sub-Saharan Africa,2933424
Samoa,WSM,East Asia & Pacific,108645
San Marino,SMR,Europe & Central Asia,15393
Sao Tome and Principe,STP,Sub-Saharan Africa,64255
Saudi Arabia,SAU,Middle East & North Africa,4086539
Senegal,SEN,Sub-Saharan Africa,3177560
Serbia,SRB,Europe & Central Asia,
Seychelles,SYC,Sub-Saharan Africa,41700
Sierra Leone,SLE,Sub-Saharan Africa,2181701
Singapore,SGP,East Asia & Pacific,1646400
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,
Slovak Republic,SVK,Europe & Central Asia,4068095
Slovenia,SVN,Europe & Central Asia,1584720
Solomon Islands,SLB,East Asia & Pacific,117869
Somalia,SOM,Sub-Saharan Africa,2756380
South Africa,ZAF,Sub-Saharan Africa,17396000
South Sudan,SSD,Sub-Saharan Africa,2955044
Spain,ESP,Europe & Central Asia,30455000
Sri Lanka,LKA,South Asia,9896000
St. Kitts and Nevis,KNA,Latin America & Caribbean,51197
St. Lucia,LCA,Latin America & Caribbean,89901
St. Martin (French part),MAF,Latin America & Caribbean,4279
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,80948
Sudan,SDN,Sub-Saharan Africa,7527450
Suriname,SUR,Latin America & Caribbean,289972
Swaziland,SWZ,Sub-Saharan Africa,349233
Sweden,SWE,Europe & Central Asia,7484656
Switzerland,CHE,Europe & Central Asia,5327827
Syrian Arab Republic,SYR,Middle East & North Africa,4592777
Tajikistan,TJK,Europe & Central Asia,2064035
Tanzania,TZA,Sub-Saharan Africa,10074490
Thailand,THA,East Asia & Pacific,27397178
Timor-Leste,TMP,East Asia & Pacific,499525
Togo,TGO,Sub-Saharan Africa,1580513
Tonga,TON,East Asia & Pacific,61600
Trinidad and Tobago,TTO,Latin America & Caribbean,848481
Tunisia,TUN,Middle East & North Africa,4220701
Turkey,TUR,Europe & Central Asia,27553280
Turkmenistan,TKM,Europe & Central Asia,1593501
Turks and Caicos Islands,TCA,Latin America & Caribbean,5724
Tuvalu,TUV,East Asia & Pacific,6104
Uganda,UGA,Sub-Saharan Africa,6788211
Ukraine,UKR,Europe & Central Asia,42662150
United Arab Emirates,ARE,Middle East & North Africa,92612
United Kingdom,GBR,Europe & Central Asia,52400000
United States,USA,North America,180671000
Uruguay,URY,Latin America & Caribbean,2538651
Uzbekistan,UZB,Europe & Central Asia,8789492
Vanuatu,VUT,East Asia & Pacific,63701
"Venezuela, RB",VEN,Latin America & Caribbean,8146845
Vietnam,VNM,East Asia & Pacific,34743000
Virgin Islands (U.S.),VIR,Latin America & Caribbean,32000
West Bank and Gaza,WBG,Middle East & North Africa,
"Yemen, Rep.",YEM,Middle East & North Africa,5166311
Zambia,ZMB,Sub-Saharan Africa,3049586
Zimbabwe,ZWE,Sub-Saharan Africa,3752390
